width	n_filter	maxpool	depth	n_par
6	4	2	8	9965416
48	12	2	5	11193272
48	6	2	6	11204768
32	64	2	3	12982536
32	32	2	4	13209736
8	64	2	4	13210888
32	16	2	5	13265992
8	32	2	5	13267592
2	64	2	5	13271560
32	8	2	6	13279784
8	16	2	6	13281608
32	4	2	7	13283096
8	8	2	7	13285032
2	32	2	6	13285640
8	4	2	8	13285848
2	16	2	7	13289096
2	8	2	8	13289928
16	12	2	6	14940344
16	6	2	7	14944160
4	12	2	7	14947160
4	6	2	8	14948096
48	64	2	3	19472648
48	32	2	4	19813512
48	16	2	5	19897928
48	8	2	6	19918632
48	4	2	7	19923608
24	12	2	6	22408952
24	6	2	7	22414688
6	12	2	7	22417640
6	6	2	8	22419056
16	64	2	4	26417416
16	32	2	5	26530952
4	64	2	5	26534664
16	16	2	6	26559048
4	32	2	6	26562952
16	8	2	7	26565928
16	4	2	8	26567576
4	16	2	7	26569928
4	8	2	8	26571624
32	12	2	6	29877560
32	6	2	7	29885216
8	12	2	7	29888120
8	6	2	8	29890016
2	12	2	8	29896136
24	64	2	4	39623944
24	32	2	5	39794312
6	64	2	5	39797768
24	16	2	6	39836488
6	32	2	6	39840264
24	8	2	7	39846824
24	4	2	8	39849304
6	16	2	7	39850760
6	8	2	8	39853320
48	12	2	6	44814776
48	6	2	7	44826272
32	64	2	4	52830472
32	32	2	5	53057672
8	64	2	5	53060872
32	16	2	6	53113928
8	32	2	6	53117576
2	64	2	6	53125640
32	8	2	7	53127720
32	4	2	8	53131032
8	16	2	7	53131592
8	8	2	8	53135016
2	32	2	7	53139720
2	16	2	8	53143176
16	12	2	7	59770040
16	6	2	8	59773856
4	12	2	8	59779928
48	64	2	4	79243528
48	32	2	5	79584392
48	16	2	6	79668808
48	8	2	7	79689512
48	4	2	8	79694488
24	12	2	7	89651960
24	6	2	8	89657696
6	12	2	8	89663720
16	64	2	5	106113288
16	32	2	6	106226824
4	64	2	6	106234632
16	16	2	7	106254920
16	8	2	8	106261800
4	32	2	7	106262920
4	16	2	8	106269896
32	12	2	7	119533880
32	6	2	8	119541536
8	12	2	8	119547512
24	64	2	5	159165704
24	32	2	6	159336072
6	64	2	6	159343624
24	16	2	7	159378248
6	32	2	7	159386120
24	8	2	8	159388584
6	16	2	8	159396616
48	12	2	7	179297720
48	6	2	8	179309216
32	64	2	5	212218120
32	32	2	6	212445320
8	64	2	6	212452616
32	16	2	7	212501576
8	32	2	7	212509320
32	8	2	8	212515368
8	16	2	8	212523336
2	64	2	7	212525576
2	32	2	8	212539656
16	12	2	8	239082680
48	64	2	5	318322952
48	32	2	6	318663816
48	16	2	7	318748232
48	8	2	8	318768936
24	12	2	8	358617848
16	64	2	6	424888584
16	32	2	7	425002120
4	64	2	7	425018120
16	16	2	8	425030216
4	32	2	8	425046408
32	12	2	8	478153016
24	64	2	6	637324552
24	32	2	7	637494920
6	64	2	7	637510664
24	16	2	8	637537096
6	32	2	8	637553160
48	12	2	8	717223352
32	64	2	6	849760520
32	32	2	7	849987720
8	64	2	7	850003208
32	16	2	8	850043976
8	32	2	8	850059912
2	64	2	8	850092552
48	64	2	6	1274632456
48	32	2	7	1274973320
48	16	2	8	1275057736
16	64	2	7	1699973384
16	32	2	8	1700086920
4	64	2	8	1700119304
24	64	2	7	2549943560
24	32	2	8	2550113928
6	64	2	8	2550146056
32	64	2	7	3399913736
32	32	2	8	3400140936
8	64	2	8	3400172808
48	64	2	7	5099854088
48	32	2	8	5100194952
16	64	2	8	6800279816
24	64	2	8	10200386824
32	64	2	8	13600493832
48	64	2	8	20400707848
